序號,活動名稱,地點名稱,活動展演起日,活動展演迄日,活動型態,辦理單位,票價或費用
121,九族櫻花祭：櫻花大道召集令-櫻花戰國武士、太鼓行列遊行（2場）,九族文化村（魚池鄉大林村金天巷45號）,2024/3/9 11:10,2024/3/9 16:30,表演與節慶,"主辦︰九族文化村股份有限公司
指導︰交通部觀光署日月潭國家風景區管理處","博幼票︰450
兒童票︰700
學生票︰800
成人票︰900
"
122,2024埔里紙藝展系列活動：展場導覽＆仿真紙花手作體驗,埔里花卉物流中心展場一樓（埔里鎮籃城里中正路1004號2Ｆ）,2024/3/9 13:40,2024/3/9 16:00,綜合,"主辦︰國立臺灣工藝研究發展中心
協辦︰南投縣埔里鎮公所","保證金︰300
"
123,心閱讀DVD動畫欣賞（113年3月）,南投縣草屯鎮立圖書館,2024/3/9 14:00,2024/3/30 15:26,影片播放,"主辦︰南投縣草屯鎮公所
承辦︰南投縣草屯鎮立圖書館",
124,南崗大樂團《台灣懷舊流行歌曲音樂會》,南投縣政府文化局,2024/3/9 14:30,2024/3/9 16:30,表演與節慶,"主辦︰南崗大樂團
指導︰南投縣政府文化局
指導︰南投縣政府",
125,集集鐵道音樂會,鐵道觀光小學堂-車埕火車站隧道前,2024/3/9 14:30,2024/3/9 15:30,表演與節慶,"主辦︰交通部觀光署日月潭國家風景區管理處
承辦︰弦外之音團",
126,原民藝術與靈魂的奇蹟引導＿楊朝欽個展-系列工作坊（創皂天然圖騰、圖騰藝塑）,大灶美術館（埔里鎮籃城五巷4-1號，同籃城書房）,2024/3/10 13:30,2024/3/24 15:30,演講／講座／研討會,策劃︰木石之光藝術工作室,"報名費用︰350
"
127,原民藝術與靈魂的奇蹟引導＿楊朝欽個展-延伸講座分享,大灶美術館（埔里鎮籃城五巷4-1號，同籃城書房）,2024/3/13 14:00,2024/3/13 15:00,展覽,策劃︰木石之光藝術工作室,
128,南投區親子館外展服務：繪本說故事「獅子與兔子」＆美勞-兔子眼鏡,南投縣名間鄉立圖書館,2024/3/15 09:30,2024/3/15 11:30,綜合,"主辦︰南投縣政府
承辦︰社團法人南投縣褓姆學會",
129,香魚療癒食堂－賞味南投美食畫展,虎山藝術館,2024/3/16 09:00,2024/4/13 17:00,展覽,主辦︰南投縣政府文化局,
130,Monk Chat 請問阿姜！泰國佛教對話體驗活動（2場次）,中台世界博物館 佛國特展第二展區,2024/3/16 14:00,2024/3/30 15:30,演講／講座／研討會,主辦︰中台世界博物館,"全票︰200
團體、學生優待票︰100
"
131,經典電影院：為副不仁（113年3月）,欣榮紀念圖書館暨玉蘭文化會館,2024/3/16 14:30,2024/3/16 16:42,影片播放,"主辦︰財團法人福田文教基金會
承辦︰欣榮紀念圖書館暨玉蘭文化會館",
132,國際民俗舞蹈體驗及書展（113年3月）,國立公共資訊圖書館中興分館,2024/3/16 14:30,2024/3/16 16:00,演講／講座／研討會,"主辦︰國立公共資訊圖書館中興分館
協辦︰中華民國國際民俗舞蹈協會",
133,佳吟舞蹈團2024年度公演《幻鏡蝶影》,南投縣政府文化局,2024/3/16 19:30,2024/3/16 21:00,表演與節慶,"指導︰南投縣政府
指導︰南投縣政府文化局",
134,「酷炫原民小子展能」才藝分享巡迴講座：舞動人生～說說我的夢想世界,仁愛鄉（南投縣）=,2024/3/22 10:00,2024/3/22 11:00,演講／講座／研討會,"主辦︰南投縣政府教育處原住民族教育資源中心
指導︰南投縣政府",
135,南投縣投緣畫會聯展,南投縣政府文化局,2024/3/23 09:00,2024/4/3 17:00,展覽,"主辦︰南投縣政府
承辦︰南投縣政府文化局",
136,2024南投彰化台中青溪新文藝學會聯展,南投縣政府文化局,2024/3/23 09:00,2024/4/3 17:00,展覽,"主辦︰南投縣政府
承辦︰南投縣政府文化局",
137,2024南投縣青溪新文藝學會聯展,南投縣政府文化局,2024/3/23 09:00,2024/4/3 17:00,展覽,"主辦︰南投縣政府
承辦︰南投縣政府文化局",
138,羅平景、羅文祺父子陶瓷聯展,南投縣政府文化局,2024/3/23 09:00,2024/4/10 17:00,展覽,"主辦︰南投縣政府
承辦︰南投縣政府文化局",
139,113年世界母語日「故鄉歌謠祭」系列活動：關於母語的五感體驗-文青純享場,南投縣政府文化局圖書館,2024/3/23 09:30,2024/3/23 11:30,演講／講座／研討會,"主辦︰南投縣政府文化局
承辦︰南投縣政府文化局圖書館",
140,鄉讚竹林長笛音樂會-竹樂茶鄉,鹿谷鄉 長源圳生態步道＆孟宗竹林古戰場,2024/3/23 13:00,2024/3/23 16:00,表演與節慶,主辦︰吹笛手家族,
141,泰國皮影戲工作坊,中台世界博物館 海會廳（埔里鎮中台路8號）,2024/3/23 13:30,2024/3/23 16:00,演講／講座／研討會,主辦︰中台世界博物館,"材料費︰100
"
142,2024女子綠色派對-環保二手市集（綠色經濟x藝術特展、泡泡秀、魔術表演、友友姊姊說故事及環保DIY）,中興新村親情公園,2024/3/23 14:00,2024/3/23 17:30,綜合,主辦︰南投縣政府,
143,龍年南投攝影藝文講座：美學概念及構圖思考-美學概念南投縣四季自然景觀,南投縣文化園區,2024/3/23 14:00,2024/3/23 16:00,演講／講座／研討會,"主辦︰南投縣政府文化局
協辦︰南投縣藝術家攝影協會
指導︰南投縣政府",
144,雷峰掌中劇團《悟空勇闖火雲洞》,南投縣政府文化局,2024/3/23 14:30,2024/3/23 15:30,表演與節慶,"指導︰南投縣政府
指導︰南投縣政府文化局",
145,【音樂會】貓頭鷹SAX重奏團：飛越四季,益品美術館,2024/3/24 15:30,2024/3/24 17:00,表演與節慶,主辦︰益品美術館,"門票︰100
"
146,國家重要民俗邵族祖靈祭保存維護計畫：重現失落的記憶＆影像保存工作坊,邵族文化聚會所（魚池鄉日月村義勇街62號）,2024/3/28 10:00,2024/3/28 18:00,演講／講座／研討會,"主辦︰南投縣魚池鄉邵族文化發展協會
主辦︰國立臺南藝術大學音像紀錄與影像維護研究所
指導︰文化部文化資產局",
147,蕭建平電視木偶劇團《周處除三害》,南投縣政府文化局,2024/3/31 14:30,2024/3/31 15:30,表演與節慶,"指導︰南投縣政府
指導︰南投縣政府文化局",
148,【旅遊攝影講座】馮營科 生態攝影家：肯亞大驚奇,益品美術館,2024/3/31 15:00,2024/3/31 16:30,演講／講座／研討會,主辦︰益品美術館,"門票︰100
"
